1266.900 1257.360 2015-11-04 00:00:00	 1241.330 2015-11-05 00:00:00 -25.570
1252.880 1259.040 2015-11-06 00:00:00	 1235.680 2015-11-09 00:00:00 -17.200
1229.080 1255.970 2015-11-10 00:00:00	 1234.400 2015-11-11 00:00:00 5.320
1198.700 1248.790 2015-11-13 00:00:00	 1187.300 2015-11-16 00:00:00 -11.400
1195.280 1237.980 2015-11-17 00:00:00	 1175.730 2015-11-18 00:00:00 -19.550
1181.280 1226.900 2015-11-19 00:00:00	 1199.180 2015-11-20 00:00:00 17.900
1195.530 1218.930 2015-11-23 00:00:00	 1183.980 2015-11-24 00:00:00 -11.550
1172.780 1205.940 2015-11-26 00:00:00	 1176.680 2015-11-27 00:00:00 3.900
1182.350 1196.280 2015-11-30 00:00:00	 1180.950 2015-12-01 00:00:00 -1.400
1182.600 1189.050 2015-12-02 00:00:00	 1175.380 2015-12-03 00:00:00 -7.220
1164.200 1182.370 2015-12-04 00:00:00	 1159.900 2015-12-07 00:00:00 -4.300
1164.500 1178.220 2015-12-08 00:00:00	 1183.830 2015-12-09 00:00:00 19.330
1192.280 1179.580 2015-12-10 00:00:00	 1193.000 2015-12-11 00:00:00 0.720
1189.230 1178.690 2015-12-14 00:00:00	 1187.930 2015-12-15 00:00:00 -1.300
1219.880 1184.300 2015-12-17 00:00:00	 1208.400 2015-12-18 00:00:00 -11.480
1223.200 1189.180 2015-12-21 00:00:00	 1202.530 2015-12-22 00:00:00 -20.670
1212.900 1193.280 2015-12-23 00:00:00	 1217.130 2015-12-24 00:00:00 4.230
1231.350 1202.170 2015-12-28 00:00:00	 1227.900 2015-12-29 00:00:00 -3.450
1209.150 1208.510 2015-12-30 00:00:00	 1218.430 2015-12-31 00:00:00 9.280
1208.200 1211.460 2016-01-01 00:00:00	 1184.800 2016-01-04 00:00:00 -23.400
1174.480 1210.180 2016-01-05 00:00:00	 1190.800 2016-01-06 00:00:00 16.320
1185.630 1206.780 2016-01-07 00:00:00	 1198.800 2016-01-08 00:00:00 13.170
1181.180 1203.090 2016-01-11 00:00:00	 1163.530 2016-01-12 00:00:00 -17.650
1139.600 1195.070 2016-01-13 00:00:00	 1139.400 2016-01-14 00:00:00 -0.200
1130.550 1182.320 2016-01-15 00:00:00	 1138.830 2016-01-18 00:00:00 8.280
1139.650 1170.990 2016-01-19 00:00:00	 1140.050 2016-01-20 00:00:00 0.400
1127.250 1159.610 2016-01-21 00:00:00	 1147.880 2016-01-22 00:00:00 20.630
1152.330 1155.390 2016-01-25 00:00:00	 1159.880 2016-01-27 00:00:00 7.550
1165.600 1151.750 2016-01-28 00:00:00	 1195.650 2016-01-29 00:00:00 30.050
1201.350 1152.970 2016-02-01 00:00:00	 1199.050 2016-02-02 00:00:00 -2.300
1208.150 1160.400 2016-02-03 00:00:00	 1210.030 2016-02-04 00:00:00 1.880
1181.480 1174.240 2016-02-08 00:00:00	 1140.700 2016-02-09 00:00:00 -40.780
1134.400 1173.910 2016-02-10 00:00:00	 1098.980 2016-02-11 00:00:00 -35.420
1113.300 1169.420 2016-02-12 00:00:00	 1134.580 2016-02-15 00:00:00 21.280
1132.780 1166.220 2016-02-16 00:00:00	 1137.780 2016-02-17 00:00:00 5.000
1157.930 1161.530 2016-02-18 00:00:00	 1159.830 2016-02-19 00:00:00 1.900
1157.950 1155.630 2016-02-22 00:00:00	 1132.000 2016-02-23 00:00:00 -25.950
1105.480 1142.730 2016-02-24 00:00:00	 1106.430 2016-02-25 00:00:00 0.950
1105.250 1129.810 2016-02-26 00:00:00	 1088.400 2016-02-29 00:00:00 -16.850
1138.330 1126.360 2016-03-01 00:00:00	 1159.430 2016-03-02 00:00:00 21.100
1186.580 1135.910 2016-03-03 00:00:00	 1178.780 2016-03-04 00:00:00 -7.800
1177.150 1142.240 2016-03-08 00:00:00	 1178.630 2016-03-09 00:00:00 1.480
1174.150 1146.310 2016-03-10 00:00:00	 1182.630 2016-03-11 00:00:00 8.480
1177.500 1149.340 2016-03-14 00:00:00	 1164.950 2016-03-15 00:00:00 -12.550
1163.530 1155.840 2016-03-16 00:00:00	 1176.030 2016-03-17 00:00:00 12.500
1223.130 1178.120 2016-03-21 00:00:00	 1236.550 2016-03-22 00:00:00 13.420
1236.900 1190.670 2016-03-23 00:00:00	 1236.700 2016-03-28 00:00:00 -0.200
